"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2020-05-14,"BC","Vancouver Coastal","Richmond",0,0.14
2020-05-14,"BC","Vancouver Coastal","Unknown",0,0
2020-05-14,"BC","Vancouver Coastal","Vancouver",0,1
2020-05-14,"BC","Vancouver Island","All",0,0
2020-05-14,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-05-14,"BC","Vancouver Island","North Vancouver Island",0,0
2020-05-14,"BC","Vancouver Island","South Vancouver Island",0,0
2020-05-14,"Out of Canada","Out of Canada","Out of Canada",0,0.14
2020-05-15,"BC","All","All",18,13.86
2020-05-15,"BC","Fraser","All",17,11.86
2020-05-15,"BC","Fraser","Fraser East",6,2.71
2020-05-15,"BC","Fraser","Fraser North",1,1.29
2020-05-15,"BC","Fraser","Fraser South",10,7.86
2020-05-15,"BC","Fraser","Unknown",0,0
2020-05-15,"BC","Interior","All",0,0.86
2020-05-15,"BC","Interior","East Kootenay",0,0.29
2020-05-15,"BC","Interior","Kootenay Boundary",0,0
2020-05-15,"BC","Interior","Okanagan",0,0
2020-05-15,"BC","Interior","Thompson Cariboo Shuswap",0,0.57
2020-05-15,"BC","Northern","All",1,0.43
2020-05-15,"BC","Northern","Northeast",0,0.14
2020-05-15,"BC","Northern","Northern Interior",1,0.29
2020-05-15,"BC","Northern","Northwest",0,0
2020-05-15,"BC","Northern","Unknown",0,0
2020-05-15,"BC","Vancouver Coastal","All",0,0.71
2020-05-15,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-05-15,"BC","Vancouver Coastal","Richmond",0,0.14
2020-05-15,"BC","Vancouver Coastal","Unknown",0,0
2020-05-15,"BC","Vancouver Coastal","Vancouver",0,0.57
2020-05-15,"BC","Vancouver Island","All",0,0
2020-05-15,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-05-15,"BC","Vancouver Island","North Vancouver Island",0,0
2020-05-15,"BC","Vancouver Island","South Vancouver Island",0,0
2020-05-15,"Out of Canada","Out of Canada","Out of Canada",0,0.14
2020-05-16,"BC","All","All",11,13.57
2020-05-16,"BC","Fraser","All",6,10.86
2020-05-16,"BC","Fraser","Fraser East",1,2.43
2020-05-16,"BC","Fraser","Fraser North",1,0.86
2020-05-16,"BC","Fraser","Fraser South",4,7.57
2020-05-16,"BC","Fraser","Unknown",0,0
2020-05-16,"BC","Interior","All",0,0.86
2020-05-16,"BC","Interior","East Kootenay",0,0.29
2020-05-16,"BC","Interior","Kootenay Boundary",0,0
2020-05-16,"BC","Interior","Okanagan",0,0
2020-05-16,"BC","Interior","Thompson Cariboo Shuswap",0,0.57
2020-05-16,"BC","Northern","All",1,0.57
2020-05-16,"BC","Northern","Northeast",0,0.14
